id feature HI AR GK AL TB VE AV OC LI OE OI LA LU LY TA PE PR LT GO ON OG WE OS UM 
*1001 P1 4 1 1 1 1 1 1 1 1 1 2 2 5 6 1 1 1 1 1 1 1 2 3 3 
*1002 P2 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 2 2 2 1 1 1 1 1 1 
*1003 P3 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 2 3 4 1 1 1 1 1 1 
*1004 P4 2 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 
*1005 P5 2 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1
*1006 P6 2 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1
*1006 P7 2 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1
*1008 P8 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 
*1009 P9 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
*1010 P10 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
*1011 P11 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
*1012 P12 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 
*1013 P13 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1
*1014 P14 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 
*1015 P15 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 
*1016 P16 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 2 2 1 1 1 
*1017 P17 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 2 2 1 1 1
*1018 P18 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 2 1 1 1
*1019 P19 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 
*1020 P20 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 
*1021 P21 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1
*1022 P22 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 
1031 M1 1 2 2 2 3 2 2 2 4 5 6 2 7 7 3 2 4 4 5 5 5 8 2 2 
1032 M2 2 1 1 3 4 1 1 5 6 7 8 9 10 11 12 1 13 14 15 16 17 18 19 20 
*1033 M3 1 2 2 3 2 2 2 2 4 5 2 2 1 1 2 6 7 8 9 10 11 12 2 2 
1034 M4 1 4 1 5 3 6 7 8 9 10 11 2 12 13 3 14 15 16 17 18 19 20 21 22 
*1035 M5 1 3 2 4 1 2 2 5 6 2 1 1 1 7 1 2 8 9 2 2 10 1 1 1 
*1036 M6 4 5 2 6 1 2 2 2 2 2 3 3 7 8 1 2 2 2 2 2 2 3 3 3 
1037 M7 1 2 2 7 5 2 2 4 4 2 3 2/3 8 1 5 2 2 4 9 2 2 3 6 6  
*1038 M8 3 4 1 5 6 1 1 7 8 1 2 2 9 10 11 1 12 13 1 1 1 2 2 2 
1039 M9 1 3 5 6 8 7 7 10 11 12 4 9 1 1 13 15 10 11 12 12 12 19 9 9
1040 M10 2 4 4 7 9 5 5 10 13 13 11 12 2 2 14 5 16 15 17 18 13 20 21 22
*1042 M12 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 3 
*1043 M13 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 2 
*1044 M14 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 
*1045 M15 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 
1 all 1 2 3 4 3 5 5 12 12 6 13 7 8/14 8/15 3 5 12 12 6 6 6 9 10 11 
2 and 1 2 3 4/17 5 6 6 7 7 8 9 10 1 1/18 11/19 6 12 13 14 15 8 6 16 10 
3 animal 1 2 3 4/21 5 6 7 8 9 10 11 12 13 14 5 15 16/22 17 10 10 10 18 19 20 
4 ashes 1 2 3 4 5/17 1 6 7 15 16 8 9 10 11 5/17 12 15 15 16 16 16 8 13 14 
5 at 1 2 3 4/16 5 6 7 8 8 9 10 9 11 12 5 13 8 14 9 9 9/17 15 9 9/18 
6 back 1 2 3 4/22 5 6 6 7 8 9/10 11/23 12 13 14 15 16 17 8 18 9 10 19 20 21
7 bad 1 2 3 4 1/20 5 6/21 7 8 9 10 11 1 12 13/22 14 15 16/23 9 17/24 9 18 11 19 
8 bark 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 10 21 22 23 
9 because 1 1 2 3 4/21 5 5 6/22/23 7/24/25 8 9 10 11 12 4/26 13 14 7/27 15 16 17 18/28/29 19 20 
